latitude,longitude,depth,mag,place
32.542,92.19,10.0,5.5,
15.814,95.879,15.0,5.7,
31.024,81.154,10.1,5.6,
8.826,93.708,30.0,5.5,
12.321,92.499,26.8,5.7,
8.868,92.467,15.5,5.7,
12.183,92.936,38.5,5.8,
8.493,92.353,33.2,5.6,
12.504,92.604,30.0,5.8,
8.615,92.326,30.0,5.5,
13.745,93.009,30.0,5.9,
8.273,94.057,23.7,5.7,
10.984,92.282,23.5,5.5,
10.363,93.747,19.5,5.6,
13.13,93.035,30.0,5.7,
8.128,94.066,17.8,5.5,
8.879,92.375,16.1,6.6,
8.857,93.738,30.0,5.5,
13.462,92.738,26.4,6.3,
10.07,93.834,30.0,5.5,
13.533,92.84,13.3,6.2,
13.59,92.91,30.0,5.7,
13.71,92.953,26.2,5.5,
8.472,92.394,30.0,5.5,
12.982,92.395,23.7,5.8,
12.35,92.469,19.0,5.6,
11.586,92.499,25.8,5.5,
8.378,93.156,34.0,5.9,
9.109,93.756,8.0,6.1,
8.791,93.198,12.0,6.2,
8.822,93.088,30.0,5.9,
12.237,92.515,30.0,5.7,
8.115,93.218,27.0,5.5,
10.672,92.362,23.2,6.1,
10.556,91.727,10.0,5.7,
10.906,91.795,10.5,5.5,
10.528,92.282,22.5,5.5,
14.57,92.387,25.7,5.5,
14.554,92.938,30.0,5.5,
8.25,94.038,23.3,5.6,
8.018,94.063,23.3,5.5,
8.015,94.002,37.7,5.5,
8.117,94.056,18.6,5.5,
9.962,93.96,39.5,5.5,
8.106,94.185,30.0,5.9,
8.097,93.945,11.0,5.9,
10.829,91.772,30.0,5.5,
30.491,83.662,11.0,6.3,
28.881,94.626,25.8,5.8,
36.569,71.32,63.1,5.6,
10.351,92.903,49.6,5.5,
36.387,70.718,209.1,5.5,
8.123,91.926,31.3,5.6,
8.073,91.912,30.0,5.5,
24.561,94.781,84.0,5.7,
34.539,73.588,26.0,7.6,
34.238,73.579,10.0,5.9,
34.994,73.781,10.0,5.7,
34.353,73.477,10.0,5.8,
34.712,73.239,10.0,5.6,
34.515,73.323,10.0,5.6,
34.65,73.125,10.0,5.7,
34.755,73.152,10.0,5.5,
34.733,73.1,8.0,6.4,
34.593,73.187,10.0,5.6,
34.771,73.12,10.0,5.7,
34.71,73.199,12.0,5.7,
34.67,73.182,7.0,5.7,
34.751,73.037,5.0,5.6,
34.854,73.042,10.0,5.5,
36.357,71.093,224.6,6.5,
13.002,93.245,44.0,5.6,
11.86,92.372,19.0,6.1,
26.912,91.705,10.0,5.8,
23.777,70.899,10.0,5.5,
23.322,70.477,10.0,5.5,
35.314,89.669,10.0,5.6,
31.607,90.413,33.1,5.7,
23.309,94.307,30.0,5.6,
32.974,96.208,15.7,5.5,
35.472,78.225,14.9,5.5,
10.653,92.361,24.0,6.2,
8.077,92.437,11.0,6.1,
36.451,70.688,222.1,6.2,
12.99,92.525,30.0,5.5,
34.248,81.967,9.0,6.1,
19.311,95.611,14.2,5.6,
22.15,92.388,28.7,5.5,
32.288,85.166,10.0,6.4,
10.413,92.869,34.0,5.9,
32.331,85.158,9.0,5.9,
32.349,85.262,5.4,5.5,
35.49,81.467,10.0,7.2,
35.513,81.433,10.0,5.6,
11.005,91.824,17.0,6.6,
10.894,91.777,17.0,5.9,
10.847,91.712,15.0,6.1,
35.658,88.307,10.0,5.5,
11.055,91.814,20.0,6.2,
10.947,91.711,13.0,5.7,
30.901,83.52,12.0,6.7,
36.487,70.934,191.5,5.8,
30.836,83.487,4.0,6.0,
10.764,91.659,19.0,5.6,
33.886,69.47,10.0,6.0,
29.807,90.35,12.0,6.3,
29.757,90.328,9.0,5.5,
36.49,70.683,210.0,5.7,
10.833,91.711,26.7,5.5,
36.389,71.075,151.0,5.8,
36.419,70.743,204.8,6.6,
36.442,70.883,186.7,5.7,
34.203,73.9,12.0,5.5,
31.158,85.902,13.4,5.8,
14.099,92.902,24.0,7.5,
24.323,94.793,99.0,5.5,
14.052,92.821,35.0,5.9,
24.332,94.669,95.0,5.9,
27.332,91.437,14.0,6.1,
20.404,94.793,84.2,5.7,
36.517,70.95,185.9,6.2,
36.391,70.722,210.0,6.2,
29.49,86.008,5.7,5.5,
8.082,91.899,23.0,6.0,
24.357,94.807,124.8,5.6,
27.319,91.51,10.0,5.5,
35.94,70.074,99.7,5.7,
23.062,94.623,102.1,5.5,
32.509,92.708,7.0,5.7,
13.667,92.831,34.0,6.6,
33.165,96.548,17.0,6.9,
33.195,96.449,7.6,6.1,
33.165,96.07,7.0,5.8,
11.132,93.471,112.0,6.5,
33.335,96.15,24.2,5.5,
13.197,93.087,20.0,5.9,
36.443,70.774,220.1,6.3,
10.622,94.109,21.8,5.6,
24.618,94.68,85.0,6.2,
36.491,70.927,190.2,5.8,
36.409,70.748,207.3,5.9,
9.635,92.459,45.0,5.5,
27.73,88.155,50.0,6.9,
36.502,71.102,212.1,5.6,
24.96,95.232,107.0,5.7,
36.741,73.152,11.0,5.6,
8.868,93.949,14.1,5.5,
9.011,93.945,9.0,5.7,
36.023,69.351,16.0,5.7,
25.592,94.696,58.0,5.6,
36.527,70.906,198.0,5.7,
22.935,94.299,75.3,5.7,
35.661,82.518,13.0,6.2,
23.005,95.885,13.7,6.8,
22.72,95.832,6.0,5.8,
23.132,95.866,28.4,5.5,
22.443,94.782,134.4,5.5,
35.711,70.599,117.4,5.5,
25.329,95.048,93.0,5.8,
19.258,95.623,9.9,5.5,
34.526,70.22,63.8,5.5,
33.061,75.863,15.0,5.7,
22.9341,95.9607,4.0,5.7,
12.3975,95.1481,10.26,5.5,
35.9053,82.5864,10.0,6.9,
35.8221,82.4667,10.0,5.7,
18.2012,88.0376,47.23,6.0,
36.4544,70.7174,200.0,5.6,
12.4337,95.2033,10.0,5.8,
12.5193,95.2254,20.22,5.5,
23.5081,93.5148,49.0,5.6,
28.2305,84.7314,8.22,7.8,
27.6285,85.5398,10.0,6.1,
27.6857,86.0213,10.0,5.6,
28.2244,84.8216,10.0,6.6,
27.8822,85.7505,10.0,5.5,
28.3902,87.3173,10.0,5.7,
27.7711,86.0173,22.91,6.7,
27.8087,86.0655,15.0,7.3,
27.7141,86.2177,13.01,5.5,
27.625,86.1617,15.0,6.3,
27.5603,86.0734,7.0,5.5,
36.6802,71.3004,191.0,5.5,
11.4234,95.032,8.71,5.5,
36.5326,71.2147,224.0,5.9,
29.6377,70.326,11.0,5.6,
36.459,70.6847,206.94,5.9,
36.5244,70.3676,231.0,7.5,
36.4344,71.4233,102.0,5.7,
36.4935,71.1263,206.0,6.3,
24.8036,93.6505,55.0,6.7,
36.5979,70.9503,239.0,5.7,
36.4725,71.1311,212.0,6.6,
23.0944,94.8654,136.0,6.9,
20.9228,94.569,82.0,6.8,
32.8959,94.8768,35.0,5.9,
33.0777,76.5809,56.996,5.1,51 km SSW of Padam
24.5929,94.6843,88.558,5.4,62 km E of Wāngjing
26.3002,92.3408,10.0,5.3,5 km N of Morigaon
19.2977,88.4613,10.0,5.1,224 km ESE of Parādīp Garh
24.6223,95.093,117.542,5.0,104 km E of Wāngjing
10.0412,91.6307,10.0,5.0,217 km SW of Port Blair
24.9577,95.5118,154.635,5.0,128 km SE of Phek
18.4471,80.3296,10.0,5.0,49 km NE of Mulugu
10.461,91.6084,10.0,5.2,182 km SW of Port Blair
34.1613,74.2677,14.076,5.1,8 km SW of Bāramūla
10.1256,93.6765,10.0,5.0,198 km SSE of Port Blair
11.3815,92.9599,57.532,5.0,39 km SE of Port Blair
26.4924,96.9139,69.136,5.7,33 km NNE of Sarupathar
33.1698,76.816,32.436,5.0,33 km S of Padam
9.4409,94.0987,10.0,5.0,287 km SSE of Port Blair
33.1836,76.8401,10.0,5.1,31 km S of Padam
24.3645,94.8511,110.242,5.0,83 km ESE of Wāngjing
30.3522,94.7507,10.0,5.0,205 km N of Shi Yomi
24.9796,92.2481,36.648,5.3,16 km NW of Karīmganj
9.1915,93.7124,10.0,5.0,293 km SSE of Port Blair
9.5163,94.0695,10.0,5.2,278 km SSE of Port Blair
9.3458,93.9282,10.0,5.3,287 km SSE of Port Blair
10.5368,93.5418,88.891,5.9,152 km SE of Port Blair
30.35,94.8318,10.0,5.0,206 km NNE of Shi Yomi
33.1191,75.9074,10.0,5.2,23 km NE of Bhadarwāh
10.972,92.0333,10.0,5.1,109 km SW of Port Blair
12.1363,93.5873,107.401,5.0,105 km ENE of Port Blair
24.8836,93.079,10.0,5.1,12 km NE of Lakhipur
28.3835,94.4118,15.0,5.5,16 km SSE of Shi Yomi
11.5884,93.1518,90.086,5.1,45 km E of Port Blair
10.2666,94.2833,10.0,5.0,228 km SE of Port Blair
10.2638,93.9224,10.0,5.0,201 km SE of Port Blair
10.3944,94.2851,10.0,5.0,219 km SE of Port Blair
10.3072,94.1437,10.0,5.0,214 km SE of Port Blair
10.4305,94.1413,10.0,5.1,204 km SE of Port Blair
35.9998,77.9099,10.0,5.1,156 km NE of Thang
29.2819,94.1513,10.0,5.1,86 km NNW of Shi Yomi
9.8601,93.4354,92.37,5.0,213 km SSE of Port Blair
13.7358,92.7495,10.0,5.1,225 km N of Bamboo Flat
30.3214,94.8247,31.64,5.0,203 km NNE of Shi Yomi
30.3557,94.7747,31.65,5.0,206 km N of Shi Yomi
25.2256,94.8803,80.05,5.0,62 km SE of Phek
14.1061,92.9896,10.0,5.2,267 km N of Bamboo Flat
14.4654,83.0456,10.0,5.1,257 km SSE of R?zole
25.9603,90.3499,10.0,5.3,8 km SSE of Lakhipur
26.7489,92.5136,35.0,5.0,6 km NE of Dhekiajuli
26.7813,92.4565,34.0,6.0,8 km NNW of Dhekiajuli
27.6289,92.6692,29.81,5.0,47 km NNE of Bomdila
33.3042,75.5872,10.0,5.1,16 km W of Kishtw?r
24.6661,93.4997,53.0,5.5,33 km WNW of Moir?ng
34.1788,79.2141,10.0,5.0,150 km E of Leh
34.1448,78.1519,10.0,5.0,52 km E of Leh
34.2487,78.2058,10.0,5.3,58 km E of Leh
23.1636,93.3258,10.0,5.3,26 km E of North Vanlaiphai
30.412,94.8613,10.0,5.0,213 km NNE of Shi Yomi
12.0979,94.9745,5.07,5.7,247 km E of Port Blair
23.1162,93.3092,10.0,5.1,25 km E of North Vanlaiphai
11.8485,94.8316,10.0,5.0,228 km E of Port Blair
11.8485,94.9362,10.0,6.1,239 km E of Port Blair
11.8395,94.9771,10.0,5.1,243 km E of Port Blair
23.1449,93.2856,10.84,5.6,22 km E of North Vanlaiphai
23.3821,70.3548,10.0,5.1,9 km N of Bhach?u
24.3856,93.9197,57.89,5.1,13 km SSW of Kakching
32.9752,76.2474,10.0,5.0,47 km NNE of Chamba
26.3386,90.7847,10.0,5.0,10 km E of Abhay?puri
10.3105,93.7827,10.0,5.0,187 km SE of Port Blair
35.0149,74.474,10.0,5.1,68 km NNW of Bandipura
11.2863,92.9571,53.39,5.1,47 km SSE of Port Blair
24.0196,93.858,63.38,5.0,39 km SSE of Chur?ch?ndpur
30.3447,94.8731,10.0,5.0,206 km NNE of Shi Yomi
11.9126,95.0085,10.0,5.0,248 km E of Port Blair
27.7188,92.8302,15.0,5.5,64 km NE of Bomdila
13.8733,92.9509,10.0,5.0,241 km N of Bamboo Flat
13.8921,92.9916,29.0,5.6,244 km N of Bamboo Flat
26.2288,95.7216,85.93,5.2,86 km SE of Mon
28.4073,94.5605,14.0,5.9,22 km SE of Shi Yomi
25.4467,94.4235,61.78,5.1,25 km SSW of Phek
11.1534,95.1558,10.0,5.2,268 km ESE of Port Blair
14.1145,93.0433,10.0,5.2,269 km N of Bamboo Flat
27.3345,96.3645,10.0,5.0,68 km SSE of Tezu
35.103,74.1694,20.67,5.2,87 km NNW of Bandipura
27.1986,96.9185,11.0,5.4,103 km SSE of Hayuliang
23.9724,93.3925,52.39,5.2,47 km E of Darlawn
12.9046,92.2347,25.65,5.1,143 km NNW of Bamboo Flat
34.2169,80.6903,10.0,5.0,286 km E of Leh
26.3711,90.1611,10.0,5.3,5 km NE of Sapatgr?m
10.5407,91.7115,10.0,5.5,168 km SW of Port Blair
9.5212,93.4269,88.88,5.2,248 km SSE of Port Blair
12.3508,93.1579,57.51,5.2,86 km NE of Bamboo Flat
24.7382,94.9055,33.0,5.6,86 km E of W?ngjing
29.964,95.0865,27.66,5.1,173 km NNE of Shi Yomi
35.7238,77.5618,74.3,5.2,112 km NE of Thang
30.6339,79.1601,10.0,5.1,34 km NW of P?palkoti
